Part No.,Part Description,Make/Buy,Category, Unit Cost ,Fulfillment,Supplier
39879-01,"Cladding Kit, 90deg. Low Corner Module",Make,Cladding Assembly Kit (G), $-   ,FAB,Internal
39936-01,"Cladding Kit, 90deg. High Corner Module",Make,Cladding Assembly Kit (G), $-   ,FAB,Internal
37673-01,"Cladding Kit, 25in Sag Grill Module w/38L Refrig.",Make,Cladding Assembly Kit (G), $-   ,FAB,Internal
33276-01,"Cladding Kit, 32in Sag Grill Module w/2130 Door",Make,Cladding Assembly Kit (G), $-   ,FAB,Internal
43488-01,"Finish Kit - A, Beacon Side Left Module, No Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
44850-01,"Finish Kit - A, Beacon Side Right Module, No Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
43908-01,"Finish Kit - A, 24in Wide Low Module, No Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
46428-01,"Finish Kit - A, 32in Wide High Module, No Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
47102-01,"Finish Kit - A, 25in Sag. Grill High Module, No Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
43897-01,"Finish Kit - A, 32in Sag. Grill High Module, No Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
47863-01,"Finish Kit - A, 90deg. High Corner Module, No Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
49115-01,"Finish Kit - A, 90deg. Low Corner Module, No Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
43326-01,"Finish Kit - B, Beacon Side Left Module, LED Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
44688-01,"Finish Kit - B, Beacon Side Right Module, LED Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
43746-01,"Finish Kit - B, 24in Wide Low Module, LED Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
46266-01,"Finish Kit - B, 32in Wide High Module, LED Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
43735-01,"Finish Kit - B, 32in Sag. Grill High Module, LED Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
47701-01,"Finish Kit - B, 90deg. High Corner Module, LED Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
49953-01,"Finish Kit - B, 90deg. Low Corner Module, LED Lighting",Make,Finish Kit (E), $-   ,ATO,Internal
K04980,"SikaBond Construction Adhesive, 29oz Tube",Buy,Adhesive,$0.82 ,OTS,Home Depot
K04981,"Locktite Blue 242, 0.2oz Tube/12 Pack",Buy,Adhesive,$18.01 ,OTS,Home Depot
K04982,"Gorilla Heavy Duty Construction Adhesive Ultimate, 9oz Tube",Buy,Adhesive,$1.51 ,OTS,Home Depot
K04983,"Gorilla Max Strength Construction Adhesive Clear, 9oz Tube",Buy,Adhesive,$1.76 ,OTS,Home Depot
K61430,GFRSCC Premix Cement,Buy,Concrete,$0.71 ,OTS,Trinic
K61431,Pigment (Iron Black),Buy,Concrete,$4.25 ,OTS,Trinic
K61432,Pigment (Deep Black),Buy,Concrete,$4.95 ,OTS,Trinic
K61433,STAGE II Accelerator,Buy,Concrete,$2.74 ,OTS,Trinic
K61435,"1/2"" Glass Fiber (13kg/28.7lbs)",Buy,Concrete,$3.37 ,OTS,GlobMarble
K61436,"3/4"" Glass Fiber (9kg/19.8lbs)",Buy,Concrete,$3.37 ,OTS,Trinic
K61437,Pol-Ease 2650 Mold Release,Buy,Concrete,$0.36 ,OTS,Trinic
K99234,Polytek Mold Release (Pol-Ease),Buy,Solvent,$6.06 ,OTS,Medford
K53583,"MICTUNING 15Amp 125V AC Port Plug with Heavy Duty Integrated Dual 20"" Extension Cord. Model MIC-EC-140",Buy,Electrical Switches & Recepticals,$28.90 ,OTS,MICTUNING
K20115,"Aluminum J-Channel (144'' x 1-1/8"" x 5/8"" x 1/4"" x .270"")",Buy,Extrusion,$2.25 ,OTS,Eagle Aluminum
K20116,"Aluminum Angle (144'' x 1-1/4"" x 1-1/4"" x 1/16"")",Buy,Extrusion,$2.76 ,OTS,Eagle Aluminum
K20117,Aluminum Angle (144'' x 5/16'' x 1-1/2'' x 1/16''),Buy,Extrusion,$1.87 ,OTS,Eagle Aluminum
K39476,"Adhesive Stud (M10), 316 SS, M10 x 1.5 mm Thread, 40mm L., 38mm D. Base",Buy,Hardware Fastener,$4.01 ,OTS,McMaster Carr
K39477,"Flat Washer (M10), 316 SS, 10.5 mm ID, 18.0 mm OD",Buy,Hardware Fastener,$0.22 ,OTS,McMaster Carr
K39478,"Hex Nut (M10), 316SS, M10 x 1.5 mm Thread Size",Buy,Hardware Fastener,$1.84 ,OTS,McMaster Carr
K39479,"Lock Washer (M10), 316 SS, 10.7 mm ID, 16 mm OD",Buy,Hardware Fastener,$0.29 ,OTS,McMaster Carr
K39480,"Rubber Washer (M10), 10.5 mm ID, 20 mm OD",Buy,Hardware Fastener,$0.46 ,OTS,McMaster Carr
K39481,"Flat Spacer Washer (M10), 10.5 mm ID, 20mm OD",Buy,Hardware Fastener,$0.55 ,OTS,McMaster Carr
K39529,"Flat Washer (1/2""), 316 SS, 0.531"" ID, 1.250"" OD",Buy,Hardware Fastener,$0.53 ,OTS,McMaster Carr
K39530,"Threaded Stud, 1/2-13 x 4in., 316 SS",Buy,Hardware Fastener,$6.37 ,OTS,McMaster Carr
K39531,"1/2-13 Thin-Profile Hex Lock Nut, 316 SS, 5/16"" H.",Buy,Hardware Fastener,$0.89 ,OTS,McMaster Carr
K39532,"Rivet Domed Head, 5/32"" Diameter, for 0.126""-0.187"" Material Thickness",Buy,Hardware Fastener,$0.10 ,OTS,McMaster Carr
K39533,"Rivet Domed Head, 5/32"" Diameter, for 0.251""-0.375"" Material Thickness",Buy,Hardware Fastener,$0.09 ,OTS,McMaster Carr
K62699,Rigid Caster,Buy,Hardware Specialty,$7.33 ,OTS,Mapp Caster
K62700,Swivel Caster,Buy,Hardware Specialty,$11.00 ,OTS,Mapp Caster
K62702,Levelling Pad,Buy,Hardware Specialty,$10.55 ,OTS,JW Winco
K39535,Panel Hole Plug (1.1/8),Buy,Hardware Fastener,$0.22 ,OTS,McMaster Carr
K01267,"6mm Magnesium Oxide Sheet 4ft X 8ft X 1/4"" ",Buy,MGO Board,$0.78 ,OTS,Ambient
K85421,Surface Mount Vent Panel,Buy,"SS Doors,Drawers, Acc.", $-   ,OTS,Amazon
K41104,"HardieBacker Cement Backerboard, 1/4 x 3ft x 5ft",Buy,Cement Board,$0.87 ,OTS,Home Depot
K98029,Pull Handle 116mm,Buy,Hardware Custom Item,$1.56 ,BTO,Foshan Builders Hardware Co
K98030,Pull Handle 300mm,Buy,Hardware Custom Item,$2.41 ,BTO,Foshan Builders Hardware Co
K98031,Pull Handle 400mm,Buy,Hardware Custom Item,$6.43 ,BTO,Foshan Builders Hardware Co
K55515,Water In-Take & Waste Line Hook Up Panel,Buy,"Plumbing (Sink, Faucet, Comp.)",$21.75 ,OTS,B&B Molders
K53586,"Journeyman-Pro 15 Amp 125 Volt NEMA 5-15R Receptacle Kit with Integrated 20"" Extension Cord + Waterproof Rubber Cover",Buy,Electrical Switches & Recepticals,$31.99 ,OTS,Journeyman-Pro
K53584,On/Off Rocker Switch Assy. w/AC Piggyback 3ft Extension Cord ,Buy,Electrical Switches & Recepticals,$15.99 ,OTS,Amazon (PolyEnergy)
K51008,"Drop-In Sink, Flange Mount, 15in w/Single Hole",Buy,"Plumbing (Sink, Faucet, Comp.)",$57.93 ,BTO,Prussia Sink
K51009,"Bar sink faucet, Single Hole, 10in, Stainless, Single Cold ",Buy,"Plumbing (Sink, Faucet, Comp.)",$31.23 ,BTO,Aquacubic Sanitary Ware Co. Ltd
K37936,"COB LED Strip, 12vdc 3.7watt, 304 Lumens, 3K Warm Light, IP65 Water Resistant",Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,Aspect LED
K37937,LED Power Transformer  ,Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,Aspect LED
K37938,"LED Alum. Track w/Clear Cover, 17mm x 8mm, 1 Meter",Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,Muzata
K37939,LED Track Corner Connector,Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,Muzata
K37940,LED Solderless Connector,Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,Amazon/Visdoll
K37941,"LED 18ga Wire, 100ft, 2 Wire, 12v/24v",Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,Amazon/Tyumen
K37942,LED Straight Power Connector,Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,Aspect LED
K37943,LED Wire Cover,Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,Amazon/Allwin
K37944,"LED Wire Cover Grommet - 1/4""",Buy,"Lighting (LED, Transformer, Wire)", $-   ,OTS,McMaster Carr
K85422,"Paper Towel Holder, Under Cabinet Paper Towel Roll Holder for Kitchen, Self Adhesive or Drilling Wall Mount for Kitchen Paper Towel, Stainless Steel SUS304",Buy,"SS Doors,Drawers, Acc.",$10.81 ,OTS,Amazon
K53585,"KUNCAN 15A AC Port Plug - 125V Power Inlet Socket with Triple 18 Inch Extension Cord, NEMA 5-15 Plug Flanged Inlet with Waterproof Cover Outdoor Extension Cable",Buy,Electrical Switches & Recepticals,$16.99 ,OTS,Amazon/KUNCAN
K55516,Universal Drain Kit for Bathroom Sinks - SnappyTrap,Buy,"Plumbing (Sink, Faucet, Comp.)",$18.79 ,OTS,Home Depot/Snappy Trap
K61482,"Rebar 3/8""D x 94""",Buy,Concrete,$0.56 ,OTS,Trinic
K61483,"25 mm Basalt Reinforcing Mesh & Scrim for Concrete, 1sq Yd",Buy,Concrete,$30.26 ,OTS,GlobMarble
K39584,"10-32 x 1.1/2"" Flat Head Phillips Screw, 18-8 SS, 82deg.",Buy,Hardware Fastener,$0.37 ,OTS,McMaster Carr
K82674,PLA-CF - Black (14100) / Filament with spool / 1 kg,Buy,Polymer Filament,$40.04 ,OTS,Bambu Labs
K20118,"Aluminum Angle (144'' x 1/2"" x 1"" x 1/16"")",Buy,Extrusion,$2.28 ,OTS,Eagle Aluminum
K10462,Eco-Etch Concrete Etcher,Buy,Solvent,$51.98 ,OTS,Eco Safety Pdts.
K10463,Super Concrete Dissolver,Buy,Solvent,$52.99 ,OTS,Cleen Pdts
K79317,"10-32 x 5/8L Female Threaded Round Standoff, Aluminum, 1/4"" OD",Buy,Hardware Specialty,$0.26 ,OTS,McMaster Carr
K39582,"18-8 Stainless Steel Hex Head Screw, 1/4""-20 Thread Size, 2-1/2"" Long, Fully Threaded",Buy,Hardware Fastener,$0.60 ,OTS,McMaster Carr
K39583,"18-8 Stainless Steel Washer for 1/4"" Screw Size, General Purpose, 0.281"" ID, 0.625"" OD",Buy,Hardware Fastener,$0.11 ,OTS,McMaster Carr
K63335,"59L (2.1CuFt) Refrigerator, Summit SPR314LOS",Buy,Appliance (Frefrigeration),$595.00 ,BTO,Summit
K23498,"All Right 25"" LP Grill",Buy,Appliance (Cooking), $-   ,BTO,"Wuxi Allright Metal Products Co., Ltd."
K23499,"All Right 32"" LP Grill",Buy,Appliance (Cooking), $-   ,BTO,"Wuxi Allright Metal Products Co., Ltd."
K23500,Electric Grill Model EG Home S,Buy,Appliance (Cooking), $-   ,BTO,Okpiro 
K39536,"10-32 Flat Head Phillips Head Screw, 7/16"" Long, SS, Undercut",Buy,Hardware Fastener,$0.14 ,OTS,McMaster Carr
K39534,"Press-Fit Nut for Sheet Metal, 1/4""-20, for 0.047"" Minimum Panel Thickness",Buy,Hardware Fastener,$0.43 ,OTS,McMaster Carr
K39580,"Press-Fit Nut for Sheet Metal, 8-32, for 0.040"" Minimum Panel Thickness",Buy,Hardware Fastener,$0.19 ,OTS,McMaster Carr
K39586,"1/4-20 Hex Head Screw, 316 Stainless Steel, 5/8"" Long",Buy,Hardware Fastener,$0.53 ,OTS,McMaster Carr
K39587,"1/4"" Flat Washer, 316 Stainless Steel",Buy,Hardware Fastener,$0.12 ,OTS,McMaster Carr
K39588,"10-32 x 3/8"" Pan Head Phillips Screw, SS 316",Buy,Hardware Fastener,$0.33 ,OTS,McMaster Carr
K39589,"8-32 x 1/2"" Pan Head Phillips Screw, SS 316",Buy,Hardware Fastener,$0.15 ,OTS,McMaster Carr
K39633,"Press-Fit Nut for Sheet Metal, 10-32, for 0.040"" Minimum Panel Thickness",Buy,Hardware Fastener,$0.28 ,OTS,McMaster Carr
K39634,"8-32 x 3/8"" Pan Head Phillips Screw, SS 316",Buy,Hardware Fastener,$0.14 ,OTS,McMaster Carr
K39635,"M10 x 30mm, 18-8 Stainless Steel Coupling Nut",Buy,Hardware Fastener,$3.58 ,OTS,McMaster Carr
K39636,"M10 x 35mm, 18-8 Stainless Steel Flanged Button Head Screw",Buy,Hardware Fastener,$2.41 ,OTS,McMaster Carr
K39637,"10-32 x 25/64, Zinc Alloy Tapping Inserts for Softwood",Buy,Hardware Fastener,$0.23 ,OTS,McMaster Carr
K79364,"Dry-Running Nylon Sleeve Bearing, 1/4"" Shaft Diameter, 1/2"" Long, 1/2"" OD x 1/16"" Thick Flange",Buy,Hardware Specialty,$2.46 ,OTS,McMaster Carr
K39528,"10-32 Flat Head Phillips Head Screw, 1/2"" Long, SS, Undercut",Buy,Hardware Fastener,$0.15 ,OTS,McMaster Carr
K25954,"Offset Piano Hinge, 304 SS",Buy,Hardware Fastener,$18.51 ,MTO,HDC
K39475,"Split Pin, 1/8"" Diam. X 3/4""L., 18-8 SS",Buy,Hardware Fastener,$0.15 ,OTS,McMaster Carr
K79312,"Aluminum Unthreaded Spacer, 5/8"" OD, 1/2"" Long, for 1/4"" Screw Size",Buy,Hardware Specialty,$2.40 ,OTS,McMaster Carr
K39482,"Press-Fit Studs 18-8 Stainless Steel, 8-32 Thread, 1/2"" Long, PEM Fhs832-8",Buy,Hardware Fastener,$0.31 ,OTS,McMaster Carr
K39483,"8-32 Acorn Nut, SS",Buy,Hardware Fastener,$1.00 ,OTS,McMaster Carr
K39527,"#8 Flat Washer, SS",Buy,Hardware Fastener,$0.05 ,OTS,McMaster Carr
K39638,#8 Split Lock Washer,Buy,Hardware Fastener,$0.06 ,OTS,McMaster Carr
K63336,"38L Refrigerator, Sunnai SY-12",Buy,Appliance (Frefrigeration),$349.86 ,BTO,"Sunnai Electrical Appliance Co.,Ltd"
K63337,"63L Refrigerator, Sunnai SY-63",Buy,Appliance (Frefrigeration),$408.80 ,BTO,"Sunnai Electrical Appliance Co.,Ltd"
K80914,Ice Bin with Swing Cover (355*305*457mm),Buy,"SS Doors,Drawers, Acc.",$122.64 ,BTO,Kinbin Hotel Equipment Mfg Co. Ltd.
K80915,Built in two layer kitchen drawer cabinet (345.5*660*490mm),Buy,"SS Doors,Drawers, Acc.",$121.94 ,BTO,Kinbin Hotel Equipment Mfg Co. Ltd.
K80916,Built in trash kitchen drawer cabinet (345.5*660*490mm),Buy,"SS Doors,Drawers, Acc.",$112.00 ,BTO,Kinbin Hotel Equipment Mfg Co. Ltd.
K80917,Built in Single Door (355*508*46mm),Buy,"SS Doors,Drawers, Acc.",$50.82 ,BTO,Kinbin Hotel Equipment Mfg Co. Ltd.
K80918,Built in Single Door (432*610*46mm),Buy,"SS Doors,Drawers, Acc.",$55.72 ,BTO,Kinbin Hotel Equipment Mfg Co. Ltd.
K80919,Drop In Double Door (751*532*95mm),Buy,"SS Doors,Drawers, Acc.",$73.50 ,BTO,Kinbin Hotel Equipment Mfg Co. Ltd.
B98493,"Countertop Reinforcement Plate, 25in Sag. High Grill",Buy,Mounting & Acc. Parts (B), $-   ,MTO,HDC
B16521,"Accessory Bar Attachment Plate, 25in Sag High Grill",Buy,Mounting & Acc. Parts (B), $-   ,MTO,HDC
B98732,"Countertop Reinforcement Plate, 32in Sag. High Grill",Buy,Mounting & Acc. Parts (B), $-   ,MTO,HDC
02017-01,"32in Wide High Mod., 63L Refrigerator",Make,Saleable SKU, $-   ,ATO,Internal
02288-01,90deg. High Corner Module w/Light Post,Make,Saleable SKU, $-   ,ATO,Internal
02469-01,90deg. Low Corner Module w/Light Post,Make,Saleable SKU, $-   ,ATO,Internal
02565-01,"Beacon, Left, 59L Refrigerator",Make,Saleable SKU, $-   ,ATO,Internal
02636-01,"24in Wide Low Mod., 38L Refrig.",Make,Saleable SKU, $-   ,ATO,Internal
02707-01,"32in Wide High Mod., 63L Refrigerator, 16in Sag. E-Grill",Make,Saleable SKU, $-   ,ATO,Internal
02778-01,"32in Wide High Mod., 63L Refrigerator, Pizza Oven, LP Box",Make,Saleable SKU, $-   ,ATO,Internal
03187-01,"32in Sag Grill High Module, 2130 Door",Make,Saleable SKU, $-   ,ATO,Internal
03971-01,"32in Wide High Mod., 1724 Door, Pizza Oven",Make,Saleable SKU, $-   ,ATO,Internal
05406-01,"24in Wide Low Mod., 1420 Door, Ice Bin",Make,Saleable SKU, $-   ,ATO,Internal
05600-01,"Beacon, Right, 1420 Door, Sink",Make,Saleable SKU, $-   ,ATO,Internal
05608-01,"32in Wide High Mod., 1420 Door, Ice Bin",Make,Saleable SKU, $-   ,ATO,Internal
05841-01,"24in Wide Low Mod., 1420 Door, Sink/Faucet",Make,Saleable SKU, $-   ,ATO,Internal
05947-01,"32in Wide High Mod., 1420 Door, Sink/ faucet",Make,Saleable SKU, $-   ,ATO,Internal
07389-01,"25in Sag Grill High Module, 38L Refrig., LP Box",Make,Saleable SKU, $-   ,ATO,Internal
08063-01,"32In Wide High Mod., 3 Drawer Cabinet",Make,Saleable SKU, $-   ,ATO,Internal
08074-01,"32In Wide High Mod., Trash Cabinet",Make,Saleable SKU, $-   ,ATO,Internal
08201-01,"24in Wide Low Mod., Trash Pull-Out Cabinet",Make,Saleable SKU, $-   ,ATO,Internal
08261-01,"24in Wide Low Mod., 2 Drawer Cabinet",Make,Saleable SKU, $-   ,ATO,Internal
08938-01,"32In Wide High Mod., 2 Drawer Cabinet",Make,Saleable SKU, $-   ,ATO,Internal
09028-01,90deg. High Corner Module,Make,Saleable SKU, $-   ,ATO,Internal
09985-01,90deg. Low Corner Module,Make,Saleable SKU, $-   ,ATO,Internal
